emoji,name,label
🖖,vulcan salute,neutral
✋,raised hand,neutral
🤞,crossed fingers,neutral
🤙,call me hand,neutral
🤟,love-you gesture,positive
🙏,folded hands,neutral
👊,oncoming fist,neutral
🤝,handshake,positive
🧑‍⚕️,health worker,neutral
🧑‍🎓,student,neutral
🧑‍💻,technologist,neutral
👩‍👧,woman and girl,neutral
👩‍👦,woman and boy,neutral
🧑‍🔧,mechanic,neutral
🌞,sun with face,positive
🎉,party popper,positive
💐,bouquet,positive
😁,big grin,positive
🥂,clinking glasses,positive
🎈,balloon,positive
🤗,hugging face,positive
👏,clapping hands,positive
🤩,star-struck,positive
😋,face savoring food,positive
👿,angry face with horns,negative
💀,skull,negative
🔪,knife,negative
🥀,wilted flower,negative
😖,confounded face,negative
😩,weary face,negative
😨,fearful face,negative
😤,face with steam,negative
😢,crying face,negative
🥶,cold face,negative
🌹,rose,positive
🥳,partying face,positive
🍀,four leaf clover,positive
🎶,musical notes,positive
💃,woman dancing,positive
😛,face with tongue,positive
✌️,victory hand,positive
🛌,person in bed,neutral
🕶️,sunglasses,neutral
🧍,standing person,neutral
💤,zzz,neutral
📷,camera,neutral
🪑,chair,neutral
📁,file folder,neutral
🔄,anticlockwise arrows button,neutral
👺,goblin,negative
⚠️,warning,negative
🔥,fire,negative
😰,anxious face with sweat,negative
🤮,face vomiting,negative
😧,anguished face,negative
🖤,black heart,negative
😿,crying cat face,negative
🧟,zombie,negative
☹️,frowning face,negative
🆘,SOS button,negative
💔,broken heart,negative
😀,grinning face,positive
😃,grinning face with big eyes,positive
😄,grinning face with smiling eyes,positive
😁,beaming face with smiling eyes,positive
😆,grinning squinting face,positive
😅,grinning face with sweat,positive
🤣,rolling on the floor laughing,positive
😂,face with tears of joy,positive
🙂,slightly smiling face,neutral
🙃,upside-down face,neutral
🫠,melting face,neutral
😉,winking face,positive
😊,smiling face with smiling eyes,positive
😇,smiling face with halo,positive
🥰,smiling face with hearts,positive
😍,smiling face with heart-eyes,positive
🤩,star-struck,positive
😘,face blowing a kiss,positive
😗,kissing face,positive
☺️,smiling face,positive
☺,smiling face,positive
😚,kissing face with closed eyes,positive
😙,kissing face with smiling eyes,positive
🥲,smiling face with tear,positive
😋,face savoring food,positive
😛,face with tongue,positive
😜,winking face with tongue,positive
🤪,zany face,positive
😝,squinting face with tongue,positive
🤑,money-mouth face,neutral
🤗,smiling face with open hands,positive
🤭,face with hand over mouth,neutral
🫢,face with open eyes and hand over mouth,neutral
🫣,face with peeking eye,neutral
🤫,shushing face,neutral
🤔,thinking face,neutral
🫡,saluting face,neutral
🤐,zipper-mouth face,neutral
🤨,face with raised eyebrow,neutral
😐,neutral face,neutral
😑,expressionless face,neutral
😶,face without mouth,neutral
🫥,dotted line face,neutral
😶‍🌫️,face in clouds,neutral
😶‍🌫,face in clouds,neutral
😏,smirking face,neutral
😒,unamused face,negative
🙄,face with rolling eyes,neutral
😬,grimacing face,neutral
😮‍💨,face exhaling,neutral
🤥,lying face,neutral
🫨,shaking face,neutral
😌,relieved face,positive
😔,pensive face,negative
😪,sleepy face,neutral
🤤,drooling face,neutral
😴,sleeping face,neutral
😷,face with medical mask,neutral
🤒,face with thermometer,negative
🤕,face with head-bandage,negative
🤢,nauseated face,negative
🤮,face vomiting,negative
🤧,sneezing face,neutral
🥵,hot face,negative
🥶,cold face,negative
🥴,woozy face,negative
😵,face with crossed-out eyes,neutral
😵‍💫,face with spiral eyes,neutral
🤯,exploding head,negative
🤠,cowboy hat face,neutral
🥳,partying face,positive
🥸,disguised face,neutral
😎,smiling face with sunglasses,positive
🤓,nerd face,neutral
🧐,face with monocle,neutral
😕,confused face,neutral
🫤,face with diagonal mouth,neutral
😟,worried face,negative
🙁,slightly frowning face,negative
☹️,frowning face,negative
☹,frowning face,negative
😮,face with open mouth,neutral
😯,hushed face,neutral
😲,astonished face,neutral
😳,flushed face,neutral
🥺,pleading face,positive
🥹,face holding back tears,positive
😦,frowning face with open mouth,negative
😧,anguished face,negative
😨,fearful face,negative
😰,anxious face with sweat,negative
😥,sad but relieved face,negative
😢,crying face,negative
😭,loudly crying face,negative
😱,face screaming in fear,negative
😖,confounded face,negative
😣,persevering face,negative
😞,disappointed face,negative
😓,downcast face with sweat,negative
😩,weary face,negative
😫,tired face,negative
🥱,yawning face,neutral
😤,face with steam from nose,negative
😡,enraged face,negative
😠,angry face,negative
🤬,face with symbols on mouth,negative
😈,smiling face with horns,neutral
👿,angry face with horns,negative
💀,skull,negative
☠️,skull and crossbones,negative
☠,skull and crossbones,negative
💩,pile of poo,negative
🤡,clown face,neutral
👹,ogre,negative
👺,goblin,negative
👻,ghost,neutral
👽,alien,neutral
👾,alien monster,neutral
🤖,robot,neutral
😺,grinning cat,positive
😸,grinning cat with smiling eyes,positive
😹,cat with tears of joy,positive
😻,smiling cat with heart-eyes,positive
😼,cat with wry smile,neutral
😽,kissing cat,positive
🙀,weary cat,negative
😿,crying cat,negative
😾,pouting cat,negative
🙈,see-no-evil monkey,neutral
🙉,hear-no-evil monkey,neutral
🙊,speak-no-evil monkey,neutral
💌,love letter,positive
💘,heart with arrow,positive
💝,heart with ribbon,positive
💖,sparkling heart,positive
💗,growing heart,positive
💓,beating heart,positive
💞,revolving hearts,positive
💕,two hearts,positive
💟,heart decoration,positive
❣️,heart exclamation,positive
❣,heart exclamation,positive
💔,broken heart,negative
❤️‍🔥,heart on fire,positive
❤‍🔥,heart on fire,positive
❤️‍🩹,mending heart,positive
❤‍🩹,mending heart,positive
❤️,red heart,positive
❤,red heart,positive
🩷,pink heart,positive
🧡,orange heart,positive
💛,yellow heart,positive
💚,green heart,positive
💙,blue heart,positive
🩵,light blue heart,positive
💜,purple heart,positive
🤎,brown heart,positive
🖤,black heart,negative
🩶,grey heart,neutral
🤍,white heart,positive
💋,kiss mark,positive
💯,hundred points,positive
💢,anger symbol,negative
💥,collision,neutral
💫,dizzy,neutral
💦,sweat droplets,neutral
💨,dashing away,neutral
🕳️,hole,neutral
🕳,hole,neutral
💬,speech balloon,neutral
👁️‍🗨️,eye in speech bubble,neutral
👁‍🗨️,eye in speech bubble,neutral
👁️‍🗨,eye in speech bubble,neutral
👁‍🗨,eye in speech bubble,neutral
🗨️,left speech bubble,neutral
🗨,left speech bubble,neutral
🗯️,right anger bubble,negative
🗯,right anger bubble,negative
💭,thought balloon,neutral
💤,ZZZ,neutral
👋,waving hand,neutral
👋🏻,waving hand: light skin tone,neutral
👋🏼,waving hand: medium-light skin tone,neutral
👋🏽,waving hand: medium skin tone,neutral
👋🏾,waving hand: medium-dark skin tone,neutral
👋🏿,waving hand: dark skin tone,neutral
🤚,raised back of hand,neutral
🤚🏻,raised back of hand: light skin tone,neutral
🤚🏼,raised back of hand: medium-light skin tone,neutral
🤚🏽,raised back of hand: medium skin tone,neutral
🤚🏾,raised back of hand: medium-dark skin tone,neutral
🤚🏿,raised back of hand: dark skin tone,neutral
🖐️,hand with fingers splayed,neutral
🖐,hand with fingers splayed,neutral
🖐🏻,hand with fingers splayed: light skin tone,neutral
🖐🏼,hand with fingers splayed: medium-light skin tone,neutral
🖐🏽,hand with fingers splayed: medium skin tone,neutral
🖐🏾,hand with fingers splayed: medium-dark skin tone,neutral
🖐🏿,hand with fingers splayed: dark skin tone,neutral
✋,raised hand,neutral
✋🏻,raised hand: light skin tone,neutral
✋🏼,raised hand: medium-light skin tone,neutral
✋🏽,raised hand: medium skin tone,neutral
✋🏾,raised hand: medium-dark skin tone,neutral
✋🏿,raised hand: dark skin tone,neutral
🖖,vulcan salute,neutral
🖖🏻,vulcan salute: light skin tone,neutral
🖖🏼,vulcan salute: medium-light skin tone,neutral
🖖🏽,vulcan salute: medium skin tone,neutral
🖖🏾,vulcan salute: medium-dark skin tone,neutral
🖖🏿,vulcan salute: dark skin tone,neutral
🫱,rightwards hand,neutral
🫱🏻,rightwards hand: light skin tone,neutral
🫱🏼,rightwards hand: medium-light skin tone,neutral
🫱🏽,rightwards hand: medium skin tone,neutral
🫱🏾,rightwards hand: medium-dark skin tone,neutral
🫱🏿,rightwards hand: dark skin tone,neutral
🫲,leftwards hand,neutral
🫲🏻,leftwards hand: light skin tone,neutral
🫲🏼,leftwards hand: medium-light skin tone,neutral
🫲🏽,leftwards hand: medium skin tone,neutral
🫲🏾,leftwards hand: medium-dark skin tone,neutral
🫲🏿,leftwards hand: dark skin tone,neutral
🫳,palm down hand,neutral
🫳🏻,palm down hand: light skin tone,neutral
🫳🏼,palm down hand: medium-light skin tone,neutral
🫳🏽,palm down hand: medium skin tone,neutral
🫳🏾,palm down hand: medium-dark skin tone,neutral
🫳🏿,palm down hand: dark skin tone,neutral
🫴,palm up hand,neutral
🫴🏻,palm up hand: light skin tone,neutral
🫴🏼,palm up hand: medium-light skin tone,neutral
🫴🏽,palm up hand: medium skin tone,neutral
🫴🏾,palm up hand: medium-dark skin tone,neutral
🫴🏿,palm up hand: dark skin tone,neutral
🫷,leftwards pushing hand,neutral
🫷🏻,leftwards pushing hand: light skin tone,neutral
🫷🏼,leftwards pushing hand: medium-light skin tone,neutral
🫷🏽,leftwards pushing hand: medium skin tone,neutral
🫷🏾,leftwards pushing hand: medium-dark skin tone,neutral
🫷🏿,leftwards pushing hand: dark skin tone,neutral
🫸,rightwards pushing hand,neutral
🫸🏻,rightwards pushing hand: light skin tone,neutral
🫸🏼,rightwards pushing hand: medium-light skin tone,neutral
🫸🏽,rightwards pushing hand: medium skin tone,neutral
🫸🏾,rightwards pushing hand: medium-dark skin tone,neutral
🫸🏿,rightwards pushing hand: dark skin tone,neutral
👌,OK hand,neutral
👌🏻,OK hand: light skin tone,neutral
👌🏼,OK hand: medium-light skin tone,neutral
👌🏽,OK hand: medium skin tone,neutral
👌🏾,OK hand: medium-dark skin tone,neutral
👌🏿,OK hand: dark skin tone,neutral
🤌,pinched fingers,neutral
🤌🏻,pinched fingers: light skin tone,neutral
🤌🏼,pinched fingers: medium-light skin tone,neutral
🤌🏽,pinched fingers: medium skin tone,neutral
🤌🏾,pinched fingers: medium-dark skin tone,neutral
🤌🏿,pinched fingers: dark skin tone,neutral
🤏,pinching hand,neutral
🤏🏻,pinching hand: light skin tone,neutral
🤏🏼,pinching hand: medium-light skin tone,neutral
🤏🏽,pinching hand: medium skin tone,neutral
🤏🏾,pinching hand: medium-dark skin tone,neutral
🤏🏿,pinching hand: dark skin tone,neutral
✌️,victory hand,positive
✌,victory hand,positive
✌🏻,victory hand: light skin tone,positive
✌🏼,victory hand: medium-light skin tone,positive
✌🏽,victory hand: medium skin tone,positive
✌🏾,victory hand: medium-dark skin tone,positive
✌🏿,victory hand: dark skin tone,positive
🤞,crossed fingers,neutral
🤞🏻,crossed fingers: light skin tone,neutral
🤞🏼,crossed fingers: medium-light skin tone,neutral
🤞🏽,crossed fingers: medium skin tone,neutral
🤞🏾,crossed fingers: medium-dark skin tone,neutral
🤞🏿,crossed fingers: dark skin tone,neutral
🫰,hand with index finger and thumb crossed,neutral
🫰🏻,hand with index finger and thumb crossed: light skin tone,neutral
🫰🏼,hand with index finger and thumb crossed: medium-light skin tone,neutral
🫰🏽,hand with index finger and thumb crossed: medium skin tone,neutral
🫰🏾,hand with index finger and thumb crossed: medium-dark skin tone,neutral
🫰🏿,hand with index finger and thumb crossed: dark skin tone,neutral
🤟,love-you gesture,positive
🤟🏻,love-you gesture: light skin tone,positive
🤟🏼,love-you gesture: medium-light skin tone,positive
🤟🏽,love-you gesture: medium skin tone,positive
🤟🏾,love-you gesture: medium-dark skin tone,positive
🤟🏿,love-you gesture: dark skin tone,positive
🤘,sign of the horns,neutral
🤘🏻,sign of the horns: light skin tone,neutral
🤘🏼,sign of the horns: medium-light skin tone,neutral
🤘🏽,sign of the horns: medium skin tone,neutral
🤘🏾,sign of the horns: medium-dark skin tone,neutral
🤘🏿,sign of the horns: dark skin tone,neutral
🤙,call me hand,neutral
🤙🏻,call me hand: light skin tone,neutral
🤙🏼,call me hand: medium-light skin tone,neutral
🤙🏽,call me hand: medium skin tone,neutral
🤙🏾,call me hand: medium-dark skin tone,neutral
🤙🏿,call me hand: dark skin tone,neutral
👈,backhand index pointing left,neutral
👈🏻,backhand index pointing left: light skin tone,neutral
👈🏼,backhand index pointing left: medium-light skin tone,neutral
👈🏽,backhand index pointing left: medium skin tone,neutral
👈🏾,backhand index pointing left: medium-dark skin tone,neutral
👈🏿,backhand index pointing left: dark skin tone,neutral
👉,backhand index pointing right,neutral
👉🏻,backhand index pointing right: light skin tone,neutral
👉🏼,backhand index pointing right: medium-light skin tone,neutral
👉🏽,backhand index pointing right: medium skin tone,neutral
👉🏾,backhand index pointing right: medium-dark skin tone,neutral
👉🏿,backhand index pointing right: dark skin tone,neutral
👆,backhand index pointing up,neutral
👆🏻,backhand index pointing up: light skin tone,neutral
👆🏼,backhand index pointing up: medium-light skin tone,neutral
👆🏽,backhand index pointing up: medium skin tone,neutral
👆🏾,backhand index pointing up: medium-dark skin tone,neutral
👆🏿,backhand index pointing up: dark skin tone,neutral
🖕,middle finger,negative
🖕🏻,middle finger: light skin tone,negative
🖕🏼,middle finger: medium-light skin tone,negative
🖕🏽,middle finger: medium skin tone,negative
🖕🏾,middle finger: medium-dark skin tone,negative
🖕🏿,middle finger: dark skin tone,negative
👇,backhand index pointing down,neutral
👇🏻,backhand index pointing down: light skin tone,neutral
👇🏼,backhand index pointing down: medium-light skin tone,neutral
👇🏽,backhand index pointing down: medium skin tone,neutral
👇🏾,backhand index pointing down: medium-dark skin tone,neutral
👇🏿,backhand index pointing down: dark skin tone,neutral
☝️,index pointing up,neutral
☝,index pointing up,neutral
☝🏻,index pointing up: light skin tone,neutral
☝🏼,index pointing up: medium-light skin tone,neutral
☝🏽,index pointing up: medium skin tone,neutral
☝🏾,index pointing up: medium-dark skin tone,neutral
☝🏿,index pointing up: dark skin tone,neutral
🫵,index pointing at the viewer,neutral
🫵🏻,index pointing at the viewer: light skin tone,neutral
🫵🏼,index pointing at the viewer: medium-light skin tone,neutral
🫵🏽,index pointing at the viewer: medium skin tone,neutral
🫵🏾,index pointing at the viewer: medium-dark skin tone,neutral
🫵🏿,index pointing at the viewer: dark skin tone,neutral
👍,thumbs up,positive
👍🏻,thumbs up: light skin tone,positive
👍🏼,thumbs up: medium-light skin tone,positive
👍🏽,thumbs up: medium skin tone,positive
👍🏾,thumbs up: medium-dark skin tone,positive
👍🏿,thumbs up: dark skin tone,positive
👎,thumbs down,negative
👎🏻,thumbs down: light skin tone,negative
👎🏼,thumbs down: medium-light skin tone,negative
👎🏽,thumbs down: medium skin tone,negative
👎🏾,thumbs down: medium-dark skin tone,negative
👎🏿,thumbs down: dark skin tone,negative
✊,raised fist,neutral
✊🏻,raised fist: light skin tone,neutral
✊🏼,raised fist: medium-light skin tone,neutral
✊🏽,raised fist: medium skin tone,neutral
✊🏾,raised fist: medium-dark skin tone,neutral
✊🏿,raised fist: dark skin tone,neutral
👊,oncoming fist,neutral
👊🏻,oncoming fist: light skin tone,neutral
👊🏼,oncoming fist: medium-light skin tone,neutral
👊🏽,oncoming fist: medium skin tone,neutral
👊🏾,oncoming fist: medium-dark skin tone,neutral
👊🏿,oncoming fist: dark skin tone,neutral
🤛,left-facing fist,neutral
🤛🏻,left-facing fist: light skin tone,neutral
🤛🏼,left-facing fist: medium-light skin tone,neutral
🤛🏽,left-facing fist: medium skin tone,neutral
🤛🏾,left-facing fist: medium-dark skin tone,neutral
🤛🏿,left-facing fist: dark skin tone,neutral
🤜,right-facing fist,neutral
🤜🏻,right-facing fist: light skin tone,neutral
🤜🏼,right-facing fist: medium-light skin tone,neutral
🤜🏽,right-facing fist: medium skin tone,neutral
🤜🏾,right-facing fist: medium-dark skin tone,neutral
🤜🏿,right-facing fist: dark skin tone,neutral
👏,clapping hands,positive
👏🏻,clapping hands: light skin tone,positive
👏🏼,clapping hands: medium-light skin tone,positive
👏🏽,clapping hands: medium skin tone,positive
👏🏾,clapping hands: medium-dark skin tone,positive
👏🏿,clapping hands: dark skin tone,positive
🙌,raising hands,positive
🙌🏻,raising hands: light skin tone,positive
🙌🏼,raising hands: medium-light skin tone,positive
🙌🏽,raising hands: medium skin tone,positive
🙌🏾,raising hands: medium-dark skin tone,positive
🙌🏿,raising hands: dark skin tone,positive
🫶,heart hands,positive
🫶🏻,heart hands: light skin tone,positive
🫶🏼,heart hands: medium-light skin tone,positive
🫶🏽,heart hands: medium skin tone,positive
🫶🏾,heart hands: medium-dark skin tone,positive
🫶🏿,heart hands: dark skin tone,positive
👐,open hands,neutral
👐🏻,open hands: light skin tone,neutral
👐🏼,open hands: medium-light skin tone,neutral
👐🏽,open hands: medium skin tone,neutral
👐🏾,open hands: medium-dark skin tone,neutral
👐🏿,open hands: dark skin tone,neutral
🤲,palms up together,neutral
🤲🏻,palms up together: light skin tone,neutral
🤲🏼,palms up together: medium-light skin tone,neutral
🤲🏽,palms up together: medium skin tone,neutral
🤲🏾,palms up together: medium-dark skin tone,neutral
🤲🏿,palms up together: dark skin tone,neutral
🤝,handshake,neutral
🤝🏻,handshake: light skin tone,neutral
🤝🏼,handshake: medium-light skin tone,neutral
🤝🏽,handshake: medium skin tone,neutral
🤝🏾,handshake: medium-dark skin tone,neutral
🤝🏿,handshake: dark skin tone,neutral
🫱🏻‍🫲🏼,"handshake: light skin tone, medium-light skin tone",neutral
🫱🏻‍🫲🏽,"handshake: light skin tone, medium skin tone",neutral
🫱🏻‍🫲🏾,"handshake: light skin tone, medium-dark skin tone",neutral
🫱🏻‍🫲🏿,"handshake: light skin tone, dark skin tone",neutral
🫱🏼‍🫲🏻,"handshake: medium-light skin tone, light skin tone",neutral
🫱🏼‍🫲🏽,"handshake: medium-light skin tone, medium skin tone",neutral
🫱🏼‍🫲🏾,"handshake: medium-light skin tone, medium-dark skin tone",neutral
🫱🏼‍🫲🏿,"handshake: medium-light skin tone, dark skin tone",neutral
🫱🏽‍🫲🏻,"handshake: medium skin tone, light skin tone",neutral
🫱🏽‍🫲🏼,"handshake: medium skin tone, medium-light skin tone",neutral
🫱🏽‍🫲🏾,"handshake: medium skin tone, medium-dark skin tone",neutral
🫱🏽‍🫲🏿,"handshake: medium skin tone, dark skin tone",neutral
🫱🏾‍🫲🏻,"handshake: medium-dark skin tone, light skin tone",neutral
🫱🏾‍🫲🏼,"handshake: medium-dark skin tone, medium-light skin tone",neutral
🫱🏾‍🫲🏽,"handshake: medium-dark skin tone, medium skin tone",neutral
🫱🏾‍🫲🏿,"handshake: medium-dark skin tone, dark skin tone",neutral
🫱🏿‍🫲🏻,"handshake: dark skin tone, light skin tone",neutral
🫱🏿‍🫲🏼,"handshake: dark skin tone, medium-light skin tone",neutral
🫱🏿‍🫲🏽,"handshake: dark skin tone, medium skin tone",neutral
🫱🏿‍🫲🏾,"handshake: dark skin tone, medium-dark skin tone",neutral
🙏,folded hands,neutral
🙏🏻,folded hands: light skin tone,neutral
🙏🏼,folded hands: medium-light skin tone,neutral
🙏🏽,folded hands: medium skin tone,neutral
🙏🏾,folded hands: medium-dark skin tone,neutral
🙏🏿,folded hands: dark skin tone,neutral
✍️,writing hand,neutral
✍,writing hand,neutral
✍🏻,writing hand: light skin tone,neutral
✍🏼,writing hand: medium-light skin tone,neutral
✍🏽,writing hand: medium skin tone,neutral
✍🏾,writing hand: medium-dark skin tone,neutral
✍🏿,writing hand: dark skin tone,neutral
💅,nail polish,neutral
💅🏻,nail polish: light skin tone,neutral
💅🏼,nail polish: medium-light skin tone,neutral
💅🏽,nail polish: medium skin tone,neutral
💅🏾,nail polish: medium-dark skin tone,neutral
💅🏿,nail polish: dark skin tone,neutral
🤳,selfie,neutral
🤳🏻,selfie: light skin tone,neutral
🤳🏼,selfie: medium-light skin tone,neutral
🤳🏽,selfie: medium skin tone,neutral
🤳🏾,selfie: medium-dark skin tone,neutral
🤳🏿,selfie: dark skin tone,neutral
💪,flexed biceps,positive
💪🏻,flexed biceps: light skin tone,positive
💪🏼,flexed biceps: medium-light skin tone,positive
💪🏽,flexed biceps: medium skin tone,positive
💪🏾,flexed biceps: medium-dark skin tone,positive
💪🏿,flexed biceps: dark skin tone,positive
🦾,mechanical arm,neutral
🦿,mechanical leg,neutral
🦵,leg,neutral
🦵🏻,leg: light skin tone,neutral
🦵🏼,leg: medium-light skin tone,neutral
🦵🏽,leg: medium skin tone,neutral
🦵🏾,leg: medium-dark skin tone,neutral
🦵🏿,leg: dark skin tone,neutral
🦶,foot,neutral
🦶🏻,foot: light skin tone,neutral
🦶🏼,foot: medium-light skin tone,neutral
🦶🏽,foot: medium skin tone,neutral
🦶🏾,foot: medium-dark skin tone,neutral
🦶🏿,foot: dark skin tone,neutral
👂,ear,neutral
👂🏻,ear: light skin tone,neutral
👂🏼,ear: medium-light skin tone,neutral
👂🏽,ear: medium skin tone,neutral
👂🏾,ear: medium-dark skin tone,neutral
👂🏿,ear: dark skin tone,neutral
🦻,ear with hearing aid,neutral
🦻🏻,ear with hearing aid: light skin tone,neutral
🦻🏼,ear with hearing aid: medium-light skin tone,neutral
🦻🏽,ear with hearing aid: medium skin tone,neutral
🦻🏾,ear with hearing aid: medium-dark skin tone,neutral
🦻🏿,ear with hearing aid: dark skin tone,neutral
👃,nose,neutral
👃🏻,nose: light skin tone,neutral
👃🏼,nose: medium-light skin tone,neutral
👃🏽,nose: medium skin tone,neutral
👃🏾,nose: medium-dark skin tone,neutral
👃🏿,nose: dark skin tone,neutral
🧠,brain,neutral
🫀,anatomical heart,neutral
🫁,lungs,neutral
🦷,tooth,neutral
🦴,bone,neutral
👀,eyes,neutral
👁️,eye,neutral
👁,eye,neutral
👅,tongue,neutral
👄,mouth,neutral
🫦,biting lip,neutral
👶,baby,neutral
👶🏻,baby: light skin tone,neutral
👶🏼,baby: medium-light skin tone,neutral
👶🏽,baby: medium skin tone,neutral
👶🏾,baby: medium-dark skin tone,neutral
👶🏿,baby: dark skin tone,neutral
🧒,child,neutral
🧒🏻,child: light skin tone,neutral
🧒🏼,child: medium-light skin tone,neutral
🧒🏽,child: medium skin tone,neutral
🧒🏾,child: medium-dark skin tone,neutral
🧒🏿,child: dark skin tone,neutral
👦,boy,neutral
👦🏻,boy: light skin tone,neutral
👦🏼,boy: medium-light skin tone,neutral
👦🏽,boy: medium skin tone,neutral
👦🏾,boy: medium-dark skin tone,neutral
👦🏿,boy: dark skin tone,neutral
👧,girl,neutral
👧🏻,girl: light skin tone,neutral
👧🏼,girl: medium-light skin tone,neutral
👧🏽,girl: medium skin tone,neutral
👧🏾,girl: medium-dark skin tone,neutral
👧🏿,girl: dark skin tone,neutral
🧑,person,neutral
🧑🏻,person: light skin tone,neutral
🧑🏼,person: medium-light skin tone,neutral
🧑🏽,person: medium skin tone,neutral
🧑🏾,person: medium-dark skin tone,neutral
🧑🏿,person: dark skin tone,neutral
👱,person: blond hair,neutral
👱🏻,"person: light skin tone, blond hair",neutral
👱🏼,"person: medium-light skin tone, blond hair",neutral
👱🏽,"person: medium skin tone, blond hair",neutral
👱🏾,"person: medium-dark skin tone, blond hair",neutral
👱🏿,"person: dark skin tone, blond hair",neutral
👨,man,neutral
👨🏻,man: light skin tone,neutral
👨🏼,man: medium-light skin tone,neutral
👨🏽,man: medium skin tone,neutral
👨🏾,man: medium-dark skin tone,neutral
👨🏿,man: dark skin tone,neutral
🧔,person: beard,neutral
🧔🏻,"person: light skin tone, beard",neutral
🧔🏼,"person: medium-light skin tone, beard",neutral
🧔🏽,"person: medium skin tone, beard",neutral
🧔🏾,"person: medium-dark skin tone, beard",neutral
🧔🏿,"person: dark skin tone, beard",neutral
🧔‍♂️,man: beard,neutral
🧔‍♂,man: beard,neutral
🧔🏻‍♂️,"man: light skin tone, beard",neutral
🧔🏻‍♂,"man: light skin tone, beard",neutral
🧔🏼‍♂️,"man: medium-light skin tone, beard",neutral
🧔🏼‍♂,"man: medium-light skin tone, beard",neutral
🧔🏽‍♂️,"man: medium skin tone, beard",neutral
🧔🏽‍♂,"man: medium skin tone, beard",neutral
🧔🏾‍♂️,"man: medium-dark skin tone, beard",neutral
🧔🏾‍♂,"man: medium-dark skin tone, beard",neutral
🧔🏿‍♂️,"man: dark skin tone, beard",neutral
🧔🏿‍♂,"man: dark skin tone, beard",neutral
🧔‍♀️,woman: beard,neutral
🧔‍♀,woman: beard,neutral
🧔🏻‍♀️,"woman: light skin tone, beard",neutral
🧔🏻‍♀,"woman: light skin tone, beard",neutral
🧔🏼‍♀️,"woman: medium-light skin tone, beard",neutral
🧔🏼‍♀,"woman: medium-light skin tone, beard",neutral
🧔🏽‍♀️,"woman: medium skin tone, beard",neutral
🧔🏽‍♀,"woman: medium skin tone, beard",neutral
🧔🏾‍♀️,"woman: medium-dark skin tone, beard",neutral
🧔🏾‍♀,"woman: medium-dark skin tone, beard",neutral
🧔🏿‍♀️,"woman: dark skin tone, beard",neutral
🧔🏿‍♀,"woman: dark skin tone, beard",neutral
👨‍🦰,man: red hair,neutral
👨🏻‍🦰,"man: light skin tone, red hair",neutral
👨🏼‍🦰,"man: medium-light skin tone, red hair",neutral
👨🏽‍🦰,"man: medium skin tone, red hair",neutral
👨🏾‍🦰,"man: medium-dark skin tone, red hair",neutral
👨🏿‍🦰,"man: dark skin tone, red hair",neutral
👨‍🦱,man: curly hair,neutral
👨🏻‍🦱,"man: light skin tone, curly hair",neutral
